"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Stk38",0.0342369616314909,-1.37756135389756,0,0.591,1,0.0995372591129378,-1.01089125883642,0.5,0.674,1,0.0995372591129378,0.0673017537212257
"Cotl1",0.0783015435043869,-1.33177155552683,0,0.469,1,0.0346500621253501,-1.25705286570695,0,0.589,1,0.0783015435043869,0.0680994974454097
"Hdc",0.0848328410397794,-1.91103538832569,0,0.456,1,0.0347999705201776,-2.10379067202106,0,0.588,1,0.0848328410397794,0.06838890309215
"Synj1",0.0361067463160175,0.385588725022398,0.5,0.137,1,0.34344630519066,-0.429788674940975,0,0.186,1,0.34344630519066,0.0709097955025058
"H2-K1",0.234353630774553,0.751926033764556,0.75,0.636,1,0.0362421703785204,0.82641516473399,1,0.778,1,0.234353630774553,0.0711708458432951
"Mmp9",0.0366752542236018,-2.54795093511902,0,0.581,1,0.0553261715094013,-2.36746123740228,0.25,0.632,1,0.0553261715094013,0.0720054341748378
"Gm38247",0.0407411129247327,0.688203999129682,0.5,0.144,1,0.037050516768643,0.255333850625514,0.5,0.121,1,0.0407411129247327,0.0727282927444624
"Atp6ap1",0.974890690294879,-0.547228204025404,0.25,0.212,1,0.0373178460817764,0.430264506012323,1,0.346,1,0.974890690294879,0.0732430705273696
"Gda",0.149702461791505,-1.85150962815699,0,0.357,1,0.0375876277312664,-1.95914745695542,0,0.578,1,0.149702461791505,0.0737624257040686
"Rnf149",0.175418829580874,-1.33916006055378,0,0.326,1,0.0388820399085843,-1.86554103654956,0,0.573,1,0.175418829580874,0.0762522667897159
"Ptpn18",0.471137232184326,-0.368146908060698,0,0.116,1,0.0393467007310554,0.313089154009935,0.5,0.128,1,0.471137232184326,0.0771452386036916
"Il10ra",0.291263057700376,0.822874495877686,0.25,0.104,1,0.0404810038882503,0.310874667226289,0.5,0.125,1,0.291263057700376,0.0793232961007
"Arl5c",0.464535950787439,-0.33679997278552,0,0.119,1,0.0407079112402653,0.307444507177808,0.5,0.129,1,0.464535950787439,0.0797586884429854
"Gpx4",0.0415094113360423,0.823054890495532,0.75,0.293,1,0.478180570768311,-0.537181213173779,0.25,0.349,1,0.478180570768311,0.0812957914426199
"Rpl14",0.810360241982317,-0.413120216216301,0.25,0.28,1,0.0419125921452922,0.513082884276125,0.75,0.261,1,0.810360241982317,0.0820685189102468
"Tap1",0.284506729283918,0.553280766230814,0.25,0.099,1,0.0422735431602009,0.258654118872165,0.5,0.124,1,0.284506729283918,0.0827600338690843
"Als2cl",0.483178629501581,0.593674538761968,0.25,0.157,1,0.0426995970022435,0.341682423312424,0.5,0.133,1,0.483178629501581,0.0835759384203329
"Rpl27a",0.0433778893800774,0.584783758154825,1,0.496,1,0.0926832875989625,0.54127714658515,0.75,0.404,1,0.0926832875989625,0.0848741374730846
"Rpl26",0.0775933173933355,0.68658109241573,0.75,0.342,1,0.0437796484194542,0.472658776968333,0.75,0.254,1,0.0775933173933355,0.0856426392231775
"Rps10",0.0438799463003395,0.538457793832285,0.75,0.292,1,0.354438876816953,-0.366259770112599,0,0.179,1,0.354438876816953,0.0858344429133584
"Gnb2l1",0.0598470040528934,0.780784743396399,0.75,0.323,1,0.0444412980016247,0.547783688762667,1,0.41,1,0.0598470040528934,0.0869075670351803
"Atxn2l",0.411843505522306,-0.634518434636613,0,0.146,1,0.0448368182990994,0.401824131050798,0.75,0.248,1,0.411843505522306,0.0876632963230123
"Rheb",0.0455675044931492,1.15078345939891,0.25,0.046,1,0.436323563472667,-0.336473982970693,0,0.133,1,0.436323563472667,0.0890586115205652
"Klf2",0.347995323733596,-1.2690626980543,0.25,0.41,1,0.0467365789521778,0.86494650063738,1,0.56,1,0.347995323733596,0.0912888500922024
"Retnlg",0.0680089100026422,-3.53853866981766,0,0.492,1,0.0471190843902885,-3.4805401651587,0,0.546,1,0.0680089100026422,0.0920179606667978
"Rpl7a",0.342276756130866,0.382202476378376,0.5,0.3,1,0.047371182671859,0.328037322230797,1,0.342,1,0.342276756130866,0.0924983363959873
"Atp5g1",0.0474263046398891,-1.24741065659987,0,0.546,1,0.414291574437019,-0.572853162507156,0.75,0.633,1,0.414291574437019,0.0926033549079827
"Clec4d",0.150196647489451,-1.39143518473695,0,0.356,1,0.0477904391615713,-1.65815077196464,0,0.544,1,0.150196647489451,0.0932969522478868
"Taldo1",0.0480430651208769,-1.9012958531796,0,0.544,1,0.112555340262966,-1.12318781195292,0.5,0.666,1,0.112555340262966,0.093777994135545
"Fbxl3",0.476497763192338,-0.312841510320204,0,0.113,1,0.0491373607001282,0.606113824406528,0.5,0.147,1,0.476497763192338,0.0958602411836819
"Irf2bp2",0.108091769178482,-1.12394884532659,0,0.415,1,0.0493862490835925,0.615311996688654,1,0.619,1,0.108091769178482,0.0963334965686383
"Emb",0.747023977432843,-1.17762962509062,0.25,0.277,1,0.0497499204335296,-1.63157658737964,0,0.538,1,0.747023977432843,0.0970247862839167
"Gm13038",0.192590589739226,0.400106739335469,0.75,0.412,1,0.049956704123873,0.287989937198128,0.75,0.233,1,0.192590589739226,0.0974177359608257
"Chmp4b",0.0507800171609343,1.92513944392511,0.5,0.198,1,0.629702687411975,-0.465237415049973,0.25,0.297,1,0.629702687411975,0.0989814241790038
"Myl6",0.143176193876649,0.606135683542037,0.75,0.513,1,0.0508153723902902,-1.16961908551185,0.25,0.672,1,0.143176193876649,0.0990485427094165
"Nktr",0.0509182057855273,0.72504316934968,0.5,0.163,1,0.43234075204188,-0.295598616210379,0,0.135,1,0.43234075204188,0.0992437478906373
"Hsd3b2",0.0512216088539987,-1.13730935114472,0,0.534,1,0.768682864580321,-0.447294841231699,0.75,0.482,1,0.768682864580321,0.0998195644944054
"Cox6b1",0.0519065743952878,0.922336954837881,0.5,0.154,1,0.301659924283741,-0.53636671287271,0,0.214,1,0.301659924283741,0.101118856325122
"Rfc2",0.0525380261850658,-1.15106749494327,0,0.531,1,0.322209502871611,-0.644098068006597,0.25,0.407,1,0.322209502871611,0.102315808174709
"Adi1",0.107917091061066,0.32536624980484,0.25,0.06,1,0.0534858186655106,0.347168136932504,0.25,0.047,1,0.107917091061066,0.104110904532701
"Ssh2",0.215926692171411,-1.24355687481362,0,0.285,1,0.0538568270438667,-1.42101312363675,0,0.527,1,0.215926692171411,0.1048130962685
"Mcl1",0.0612482955064165,-2.36550417440975,0,0.508,1,0.0548344186356366,-1.9132184341371,0.75,0.827,1,0.0612482955064165,0.106662023804165
"Srgn",0.0562199218589636,-3.13599513950162,0.25,0.648,1,0.0703986266300365,-1.6692873648474,1,0.896,1,0.0703986266300365,0.109279164104099
"Ptgs2",0.230705811288609,-1.89487794560392,0,0.271,1,0.0562254409701504,-2.5981459371754,0,0.52,1,0.230705811288609,0.109289581728013
"Rpl13a",0.189000749190807,0.432795550735199,0.75,0.455,1,0.0563140366883477,0.35650251500313,1,0.456,1,0.189000749190807,0.109456802648559
"Slpi",0.0573542021791187,-2.21430180776924,0,0.518,1,0.159684722554279,-1.85232199066789,0.5,0.605,1,0.159684722554279,0.111418899850634
"Pddc1",0.312979023162869,-0.532877287674824,0,0.206,1,0.05782791426542,0.373597645916504,0.5,0.144,1,0.312979023162869,0.112311760862551
"C5ar1",0.179351600569703,-1.4734865125516,0,0.322,1,0.0582229209717616,-1.74575183736844,0,0.515,1,0.179351600569703,0.113055933417039
"Mxd1",0.0890794806623071,-2.12774035863964,0,0.448,1,0.0583099644705264,-2.17766703724671,0.25,0.627,1,0.0890794806623071,0.113219876984499
